Date,Squad,Home_Away,Match_Half,Minute,Player,xG,PSxG,Outcome,Distance,Body Part,Notes,Player_SCA_1,Event_SCA_1,Player_SCA_2,Event_SCA_2
2022-07-12,Austin,Home,1,3,Žan Kolmanič,0.04,,Off Target,31,Left Foot,Free kick,Julio Cascante,Fouled,Julio Cascante,Take-On
2022-07-12,Austin,Home,1,15,Diego Fagúndez,0.06,0.32,Goal,26,Right Foot,Free kick,Sebastián Driussi,Fouled,,
2022-07-12,Austin,Home,1,37,Sebastián Driussi,0.35,,Off Target,6,Head,,Žan Kolmanič,Pass (Live),Diego Fagúndez,Pass (Live)
2022-07-12,Austin,Home,1,45,Žan Kolmanič,0.01,,Off Target,19,Left Foot,Volley,Ethan Finlay,Pass (Live),Sebastián Driussi,Pass (Live)
2022-07-12,Austin,Home,1,45+5,Maximiliano Urruti,0.06,,Off Target,14,Right Foot,,Sebastián Driussi,Fouled,Žan Kolmanič,Pass (Live)
2022-07-12,Austin,Home,2,50,Julio Cascante,0.20,,Blocked,6,Head,,Daniel Pereira,Pass (Live),Diego Fagúndez,Pass (Dead)
2022-07-12,Austin,Home,2,50,Ethan Finlay,0.10,,Off Target,8,Head,,Maximiliano Urruti,Pass (Live),Julio Cascante,Shot
2022-07-12,Austin,Home,2,55,Alexander Ring,0.05,,Blocked,25,Right Foot,,Nick Lima,Pass (Dead),,
2022-07-12,Austin,Home,2,56,Julio Cascante,0.08,,Off Target,10,Head,,Žan Kolmanič,Pass (Dead),Alexander Ring,Pass (Live)
2022-07-12,Austin,Home,2,57,Maximiliano Urruti,0.08,0.55,Goal,17,Right Foot,,Sebastián Driussi,Pass (Live),Sebastián Driussi,Take-On
2022-07-12,Austin,Home,2,59,Ethan Finlay,0.18,0.35,Saved,11,Right Foot,,Diego Fagúndez,Pass (Live),Alexander Ring,Pass (Live)
2022-07-12,Austin,Home,2,59,Diego Fagúndez,0.11,,Blocked,11,Right Foot,,Ethan Finlay,Pass (Live),Ethan Finlay,Shot
2022-07-12,Austin,Home,2,70,Alexander Ring,0.35,0.54,Goal,5,Head,,Ethan Finlay,Pass (Live),Maximiliano Urruti,Pass (Live)
2022-07-12,Austin,Home,2,82,Maximiliano Urruti,0.23,,Blocked,7,Right Foot,,Alexander Ring,Pass (Live),Diego Fagúndez,Pass (Live)
2022-07-12,Austin,Home,2,84,Rodney Redes,0.08,0.06,Saved,17,Right Foot,Deflected,Alexander Ring,Pass (Live),Diego Fagúndez,Pass (Live)
2022-07-12,Austin,Home,2,88,Rodney Redes,0.18,0.41,Saved,11,Right Foot,,Diego Fagúndez,Pass (Live),Felipe,Pass (Live)
2022-07-12,Dynamo FC,Away,1,11,Adalberto Carrasquilla,0.07,0.10,Goal,11,Right Foot,,Adalberto Carrasquilla,Take-On,Adam Lundqvist,Pass (Live)
2022-07-12,Dynamo FC,Away,2,69,Memo Rodriguez,0.04,,Off Target,18,Right Foot,,Darwin Quintero,Pass (Live),Zeca,Pass (Live)
2022-07-12,Dynamo FC,Away,2,77,Darwin Quintero,0.01,,Off Target,49,Right Foot,,,,,
2022-07-12,Dynamo FC,Away,2,84,Fafà Picault,0.24,0.20,Saved,14,Left Foot,,Darwin Quintero,Pass (Live),Héctor Herrera,Pass (Live)
2022-07-12,Dynamo FC,Away,2,84,Fafà Picault,0.21,,Blocked,12,Left Foot,,Fafà Picault,Shot,,
2022-07-12,Dynamo FC,Away,2,84,Memo Rodriguez,0.16,,Off Target,15,Right Foot,Volley,Fafà Picault,Shot,,
2022-07-12,Dynamo FC,Away,2,90+1,Memo Rodriguez,0.04,,Off Target,31,Right Foot,,Darwin Quintero,Pass (Live),Héctor Herrera,Pass (Live)
2022-07-12,Dynamo FC,Away,2,90+5,Griffin Dorsey,0.06,0.03,Saved,12,Head,,Þorleifur Úlfarsson,Pass (Live),Griffin Dorsey,Pass (Live)
2022-07-13,Minnesota Utd,Home,1,20,Bongokuhle Hlongwane,0.10,,Off Target,10,Right Foot,,Franco Fragapane,Pass (Live),Emanuel Reynoso,Pass (Live)
2022-07-13,Minnesota Utd,Home,1,32,Robin Lod,0.05,,Off Target,18,Left Foot,,Emanuel Reynoso,Pass (Dead),Franco Fragapane,Pass (Live)
2022-07-13,Minnesota Utd,Home,1,38,Luis Amarilla,0.06,0.06,Saved,21,Left Foot,,Franco Fragapane,Pass (Live),Emanuel Reynoso,Pass (Live)
2022-07-13,Minnesota Utd,Home,1,43,Bongokuhle Hlongwane,0.08,,Blocked,21,Left Foot,,Michael Boxall,Pass (Live),Wil Trapp,Pass (Live)
2022-07-13,Minnesota Utd,Home,2,47,Emanuel Reynoso,0.08,,Blocked,25,Left Foot,Free kick,Emanuel Reynoso,Fouled,Robin Lod,Pass (Live)
2022-07-13,Minnesota Utd,Home,2,52,Luis Amarilla,0.06,,Off Target,10,Head,,Kemar Lawrence,Pass (Live),Bakaye Dibassy,Pass (Live)
2022-07-13,Minnesota Utd,Home,2,60,Emanuel Reynoso,0.01,,Off Target,23,Left Foot,,Emanuel Reynoso,Take-On,Wil Trapp,Pass (Live)
2022-07-13,Minnesota Utd,Home,2,84,Luis Amarilla,0.23,0.13,Saved,8,Head,,Emanuel Reynoso,Pass (Live),D.J. Taylor,Pass (Live)
2022-07-13,Minnesota Utd,Home,2,84,Robin Lod,0.37,0.06,Saved,2,Left Foot,Volley,Emanuel Reynoso,Pass (Dead),Luis Amarilla,Shot
2022-07-13,Minnesota Utd,Home,2,85,Jacori Hayes,0.10,,Off Target,17,Right Foot,,Luis Amarilla,Pass (Live),Robin Lod,Shot
2022-07-13,Sporting KC,Away,1,7,Dániel Sallói,0.10,,Off Target,17,Right Foot,,Dániel Sallói,Take-On,Rémi Walter,Pass (Live)
2022-07-13,Sporting KC,Away,1,10,Dániel Sallói,0.02,0.26,Saved,31,Right Foot,,Dániel Sallói,Interception,,
2022-07-13,Sporting KC,Away,1,28,Cameron Duke,0.32,0.80,Saved,6,Right Foot,,Dániel Sallói,Pass (Live),Marinos Tzionis,Pass (Live)
2022-07-13,Sporting KC,Away,1,42,Marinos Tzionis,0.03,,Blocked,32,Right Foot,,Logan Ndenbe,Pass (Live),Oriol Rosell,Pass (Live)
2022-07-13,Sporting KC,Away,2,48,Felipe Hernandez,0.07,,Off Target,22,Right Foot,Volley,Dániel Sallói,Pass (Live),Marinos Tzionis,Pass (Live)
2022-07-13,Sporting KC,Away,2,54,Cameron Duke,0.02,,Blocked,29,Right Foot,,Felipe Hernandez,Pass (Live),Rémi Walter,Pass (Live)
2022-07-13,Sporting KC,Away,2,57,Dániel Sallói,0.02,,Off Target,31,Right Foot,,,,,
2022-07-13,Sporting KC,Away,2,61,Marinos Tzionis,0.02,0.16,Saved,31,Right Foot,,Marinos Tzionis,Take-On,,
2022-07-13,Sporting KC,Away,2,63,Johnny Russell,0.11,0.84,Goal,13,Left Foot,,Kayden Pierre,Pass (Live),Johnny Russell,Pass (Live)
