Date,Squad,Home_Away,Match_Half,Minute,Player,xG,PSxG,Outcome,Distance,Body Part,Notes,Player_SCA_1,Event_SCA_1,Player_SCA_2,Event_SCA_2
2021-04-17,CF Montréal,Home,1,3,Mason Toye,0.21,0.54,Goal,17,Right Foot,,Zachary Brault-Guillard,Pass (Live),,
2021-04-17,CF Montréal,Home,1,12,Djordje Mihailovic,0.03,,Blocked,31,Left Foot,,Zachary Brault-Guillard,Pass (Live),Joel Waterman,Pass (Live)
2021-04-17,CF Montréal,Home,1,17,Mason Toye,0.14,,Off Target,9,Head,,Mustafa Kizza,Pass (Live),Victor Wanyama,Pass (Live)
2021-04-17,CF Montréal,Home,1,20,Mustafa Kizza,0.02,,Off Target,38,Left Foot,,Samuel Piette,Pass (Live),,
2021-04-17,CF Montréal,Home,1,24,Romell Quioto,0.18,0.17,Goal,11,Right Foot,,Joel Waterman,Pass (Live),,
2021-04-17,CF Montréal,Home,1,39,Mason Toye,0.04,,Blocked,27,Right Foot,,,,,
2021-04-17,CF Montréal,Home,1,45+2,Djordje Mihailovic,0.06,0.18,Saved,27,Right Foot,Free kick,Djordje Mihailovic,Fouled,Djordje Mihailovic,Take-On
2021-04-17,CF Montréal,Home,2,54,Victor Wanyama,0.09,0.35,Goal,6,Head,,Mustafa Kizza,Pass (Dead),Mason Toye,Pass (Live)
2021-04-17,CF Montréal,Home,2,67,Romell Quioto,0.06,,Off Target,9,Head,,Erik Hurtado,Pass (Live),Erik Hurtado,Take-On
2021-04-17,CF Montréal,Home,2,71,Djordje Mihailovic,0.26,0.70,Goal,11,Right Foot,,Erik Hurtado,Pass (Live),Zachary Brault-Guillard,Pass (Live)
2021-04-17,CF Montréal,Home,2,90,Bjørn Johnsen,0.07,,Blocked,17,Right Foot,,Amar Sejdic,Pass (Live),Bjørn Johnsen,Pass (Live)
2021-04-17,CF Montréal,Home,2,90+2,Bjørn Johnsen,0.10,,Blocked,16,Left Foot,,Erik Hurtado,Pass (Live),Kamal Miller,Pass (Live)
2021-04-17,Toronto FC,Away,1,6,Jacob Shaffelburg,0.27,,Off Target,16,Left Foot,,Michael Bradley,Pass (Live),Ralph Priso-Mbongue,Pass (Live)
2021-04-17,Toronto FC,Away,1,15,Michael Bradley,0.05,,Off Target,25,Right Foot,Free kick,Richie Laryea,Fouled,Richie Laryea,Interception
2021-04-17,Toronto FC,Away,1,30,Noble Okello,0.08,0.23,Saved,12,Head,,Jacob Shaffelburg,Pass (Live),Marky Delgado,Pass (Live)
2021-04-17,Toronto FC,Away,1,36,Auro,0.03,,Off Target,28,Right Foot,,Jacob Shaffelburg,Pass (Live),Omar Gonzalez,Pass (Live)
